,Bus_num,Line,Busstop_id,Busstop_name,Lon,Lat,Arrived,Expected,Delay [min]
0,1520,119,"2189,01",Lebiodowa 01,21.133897,52.205866,2024-02-26 16:59:26,2024-02-26 17:01:00,-1.57
1,1520,119,"2190,01",Kombajnistów 01,21.134258,52.202979,2024-02-26 17:00:13,2024-02-26 17:02:00,-1.78
2,1520,119,"2215,01",Wodniaków 01,21.128721,52.201516,2024-02-26 17:01:31,2024-02-26 17:03:00,-1.48
3,1520,119,"2209,02",Bronowska 02,21.11809,52.199798,2024-02-26 17:03:12,2024-02-26 17:05:00,-1.8
4,1520,119,"2208,02",Kanał Nowe Ujście 02,21.112966,52.205222,2024-02-26 17:04:26,2024-02-26 17:06:00,-1.57
5,1520,119,"2207,02",Wojsławicka 02,21.109466,52.208263,2024-02-26 17:05:12,2024-02-26 17:07:00,-1.8
6,1520,119,"2206,02",Kadetów 02,21.104428000000002,52.212467,2024-02-26 17:07:34,2024-02-26 17:08:00,-0.43
7,1520,119,"2249,02",Narodowa 02,21.10121,52.215164,2024-02-26 17:09:11,2024-02-26 17:09:00,0.18
8,1520,119,"2205,02",most Siekierkowski 02,21.097461,52.217594,2024-02-26 17:09:44,2024-02-26 17:10:00,-0.27
9,1520,119,"3308,01",Siekierki-Sanktuarium 01,21.082960000000003,52.20666,2024-02-26 17:12:39,2024-02-26 17:13:00,-0.35
10,1520,119,"3323,01",Małe Siekierki 01,21.066729,52.203072,2024-02-26 17:15:02,2024-02-26 17:15:00,0.03
11,1520,119,"3324,01",Ogrody Działkowe Czerniaków 01,21.060112,52.202004,2024-02-26 17:15:05,2024-02-26 17:16:00,-0.92
12,1520,119,"3060,03",al.Witosa 03,21.050617,52.196965,2024-02-26 17:18:06,2024-02-26 17:18:00,0.1
13,1520,119,"3325,04",Beethovena 04,21.048493,52.195438,2024-02-26 17:19:03,2024-02-26 17:19:00,0.05
14,1520,119,"3088,02",Kierbedzia 02,21.046367,52.199496,2024-02-26 17:20:07,2024-02-26 17:20:00,0.12
15,1520,119,"3087,02",Bobrowiecka 02,21.046128,52.201706,2024-02-26 17:21:19,2024-02-26 17:21:00,0.32
16,1520,119,"3086,02",Zakrzewska 02,21.041217000000003,52.202179,2024-02-26 17:22:30,2024-02-26 17:22:00,0.5
17,1520,119,"3084,54",Stępińska 54,21.039202000000003,52.205761,2024-02-26 17:25:43,2024-02-26 17:23:00,2.72
18,1520,119,"3084,02",Stępińska 02,21.035327,52.206984,2024-02-26 17:26:55,2024-02-26 17:24:00,2.92
19,1520,119,"3026,52",Spacerowa 52,21.029526,52.208632,2024-02-26 17:27:58,2024-02-26 17:26:00,1.97
20,1520,119,"3001,58",pl.Unii Lubelskiej 58,21.02345,52.21372,2024-02-26 17:30:23,2024-02-26 17:28:00,2.38
21,1520,119,"3001,01",pl.Unii Lubelskiej 01,21.018728,52.212264,2024-02-26 17:31:57,2024-02-26 17:30:00,1.95
22,1520,119,"3002,04",Rakowiecka 04,21.019808,52.20966,2024-02-26 17:33:01,2024-02-26 17:32:00,1.02
23,1520,119,"3105,02",Wiśniowa 02,21.0131,52.208483,2024-02-26 17:33:48,2024-02-26 17:34:00,-0.2
24,1520,119,"3228,02",Metro Pole Mokotowskie 02,21.008118000000003,52.208406,2024-02-26 17:35:32,2024-02-26 17:36:00,-0.47
25,1520,119,"3234,01",Stefana Batorego 01,21.00582,52.21046,2024-02-26 17:37:46,2024-02-26 17:37:00,0.77
26,1520,119,"3235,01",św.A.Boboli 01,21.001208000000002,52.209619,2024-02-26 17:38:33,2024-02-26 17:38:00,0.55
27,7327,525,"2031,02",Centrum Zdrowia Dziecka 02,21.193246,52.207395,2024-02-26 17:13:57,2024-02-26 16:57:00,16.95
28,7327,525,"7011,02",pl.Konstytucji 02,21.01656,52.222524,2024-02-26 17:54:58,2024-02-26 17:51:00,3.97
29,7327,525,"7013,06",Centrum 06,21.009962,52.229589,2024-02-26 17:59:19,2024-02-26 17:56:00,3.32
30,7327,525,"7002,02",Dw.Centralny 02,21.003378,52.228223,2024-02-26 18:00:51,2024-02-26 17:58:00,2.85
31,9804,167,"5055,02",Stare Bemowo 02,20.898491,52.258792,2024-02-26 17:06:48,2024-02-26 17:02:00,4.8
32,9804,167,"5054,01",Archimedesa 01,20.897939,52.255618,2024-02-26 17:08:02,2024-02-26 17:03:00,5.03
33,9804,167,"5053,01",WAT 01,20.89843,52.251525,2024-02-26 17:09:26,2024-02-26 17:04:00,5.43
34,9804,167,"5163,01",Kocjana 01,20.898007,52.248787,2024-02-26 17:10:41,2024-02-26 17:06:00,4.68
35,9804,167,"5052,01",Fort Blizne 01,20.897596,52.245911,2024-02-26 17:12:20,2024-02-26 17:08:00,4.33
36,9804,167,"5051,01",Narwik 01,20.896571,52.241676,2024-02-26 17:14:59,2024-02-26 17:09:00,5.98
37,9804,167,"5050,03",os.Górczewska 03,20.897573,52.239411,2024-02-26 17:17:13,2024-02-26 17:11:00,6.22
38,9804,167,"5035,01",Klemensiewicza 01,20.905574,52.238817,2024-02-26 17:21:45,2024-02-26 17:13:00,8.75
